od_test,num_failing_orders,num_passing_orders,top1_candidate,ranking_time_ms
basicProxyAuthentication,7,1,customConnectionFactory,14.421
deleteWithEscapedMappedQueryParams,1,5,appendEmptyMappedQueryParams,8.809
deleteWithEscapedVarargsQueryParams,1,3,cacheControlHeader,8.99
deleteWithMappedQueryParams,5,1,customConnectionFactory,9.907
deleteWithVarargsQueryParams,4,1,customConnectionFactory,7.849
getUrlEncodedWithPercent,1,5,bodyOfNonEmptyErrorResponse,7.391
getUrlEncodedWithSpace,2,1,encode,6.396
getUrlEncodedWithUnicode,4,1,getAllHeaders,9.624
getWithEscapedMappedQueryParams,5,1,customConnectionFactory,10.05
getWithEscapedVarargsQueryParams,6,1,customConnectionFactory,8.591
getWithMappedQueryParams,4,1,customConnectionFactory,6.432
getWithVarargsQueryParams,6,1,customConnectionFactory,9.741
headWithEscapedMappedQueryParams,1,5,getWithMappedQueryParams,14.699
headWithEscapedVarargsQueryParams,5,1,appendArrayQueryParams,12.237
headWithMappedQueryParams,1,2,acceptJson,6.121
headWithVaragsQueryParams,5,1,customConnectionFactory,9.16
postWithEscapedMappedQueryParams,4,1,customConnectionFactory,8.128
postWithEscapedVarargsQueryParams,1,7,contentEncodingHeader,9.043
postWithMappedQueryParams,5,1,customConnectionFactory,10.647
postWithNumericQueryParams,1,5,appendVarargsQueryParmasWithNoPath,7.772
postWithVaragsQueryParams,6,1,appendMappedQueryParamsWithNoPath,13.178
putWithEscapedMappedQueryParams,5,1,appendMappedQueryParamsWithNoPath,10.139
putWithEscapedVarargsQueryParams,3,1,appendEmptyVarargsQueryParams,6.715
putWithMappedQueryParams,7,1,appendMappedQueryParamsWithNoPath,15.064
putWithVarargsQueryParams,1,4,appendMappedQueryParamsWithExistingParams,8.402
singleSslSocketFactory,4,1,sendDateHeaderWithoutCode,10.501
singleVerifier,4,1,customConnectionFactory,7.623
verifierAccepts,1,7,getEmptyHeaders,11.302
